영화관명,브랜드명,영업상태명,영화관지역명,광역단체,기초단체,번지명,도로명,x(epsg5174),y(epsg5174),lat_wgs84,lon_wgs84
목포,CGV,영업,광주/전라/제주,전라남도,목포시,전라남도 목포시 상동 1129-6,전라남도 목포시 원형동로 53 (상동),148058.3144,144672.7938,34.7992145843286,126.433260930275
목포평화광장,CGV,영업,광주/전라/제주,전라남도,목포시,전라남도 목포시 상동 1129-6,전라남도 목포시 원형동로 53 (상동),148058.3144,144672.7938,34.7992145843286,126.433260930275
서전주,CGV,영업,광주/전라/제주,전라북도,전주시,전북특별자치도 전주시 완산구 효자동3가 1531-2 M-SQUARE,전북특별자치도 전주시 완산구 홍산로 260,209547.443526894,257418.20170916177,35.8167392281697,127.106451402563
순천신대,CGV,영업,광주/전라/제주,전라남도,순천시,전라남도 순천시 해룡면 신대리 2139,전라남도 순천시 해룡면 해광로 199,250396.8735,158714.5191,34.9260137898159,127.552394912775
여수웅천,CGV,영업,광주/전라/제주,전라남도,여수시,전라남도 여수시 웅천동 1720-3,전라남도 여수시 웅천로 19-35 (웅천동),262077.5781,139123.0121,34.7487085987141,127.67879499345
익산,CGV,영업,광주/전라/제주,전라북도,익산시 ,전북특별자치도 익산시 영등동 149-1,전북특별자치도 익산시 무왕로 1052,197561.1987821846,273082.6854798391,35.9581279059163,126.973762940246
전주고사,CGV,영업,광주/전라/제주,전라북도,전주시,전북특별자치도 전주시 완산구 고사동 355-1,전북특별자치도 전주시 완산구 전주객사3길 72,212755.87034157384,257817.5562601415,35.8203298453882,127.142032573007
전주에코시티,CGV,영업,광주/전라/제주,전라북도,전주시,전북특별자치도 전주시 덕진구 송천동2가 1329-1 로마네시티 현대썬앤빌 전주,전북특별자치도 전주시 덕진구 세병2길 10,211183.54812609893,263682.218388786,35.8730868399678,127.124401998615
전주효자,CGV,영업,광주/전라/제주,전라북도,전주시,전북특별자치도 전주시 완산구 효자동1가 434,전북특별자치도 전주시 완산구 용머리로 45,210411.9325419613,256309.1815077477,35.8069313015329,127.115569344574
정읍,CGV,영업,광주/전라/제주,전라북도,정읍시,전북특별자치도 정읍시 수성동 525-1,전북특별자치도 정읍시 중앙1길 1,186292.8884491452,230021.3667796112,35.5698609615438,126.849559958871
제주,CGV,영업,광주/전라/제주,제주도,제주시,제주특별자치도 제주시 이도이동 1776-3,제주특별자치도 제주시 서광로 288 (이도이동),151438.74036482663,-1052.2438047928736,33.500098966881,126.527247513365
제주노형,CGV,영업,광주/전라/제주,제주도,제주시,제주특별자치도 제주시 노형동 1288-5,제주특별자치도 제주시 노형로 407 (노형동),151441.4474,-1047.378627,33.485821410903,126.478301044424
가산디지털,롯데시네마,영업,서울,서울특별시,금천구,서울특별시 금천구 가산동 60-8 현대시티아울렛 가산점,"서울특별시 금천구 디지털로10길 9, 현대시티아울렛 가산점 (가산동)",190119.4634,441716.6846,37.4776190161713,126.88905533739
가양,롯데시네마,영업,서울,서울특별시,강서구,"서울특별시 강서구 등촌동 73-1 4,5,6층","서울특별시 강서구 양천로 476, 4,5,6층 (등촌동)",186966.0362,451047.2873,,
강동,롯데시네마,영업,서울,서울특별시,강동구,서울특별시 강동구 성내동 44-1번지,서울특별시 강동구 천호옛길 85 (성내동),211008.0193,448270.5004,37.5366333948264,127.125335580215
건대입구,롯데시네마,영업,서울,서울특별시,광진구,서울특별시 광진구 자양동 227-7 더샵스타시티,"서울특별시 광진구 아차산로 272, 더샵스타시티 (자양동)",206349.675,448396.9397,37.5385582736952,127.072996184863
김포공항,롯데시네마,영업,서울,서울특별시,강서구,서울특별시 강서구 방화동 886 스카이파크,"서울특별시 강서구 하늘길 38 (방화동, 스카이파크)",182602.2474094111,451288.6653189412,37.5713695798026,126.802960133589
노원,롯데시네마,영업,서울,서울특별시,노원구,서울특별시 노원구 상계동 713,서울특별시 노원구 동일로 1414 (상계동),205320.2848,461419.8818,37.6552787315469,127.061391730931
도곡,롯데시네마,영업,서울,서울특별시,강남구,서울특별시 강남구 도곡동 174-3,서울특별시 강남구 남부순환로 2753 (도곡동),204098.596,442807.3172,37.4874807715334,127.04698960023
독산,롯데시네마,영업,서울,서울특별시,금천구,서울특별시 금천구 독산동 291-5,서울특별시 금천구 시흥대로 399 (독산동),190858.6495,440808.5413,37.4693591753013,126.897001948519
서울대입구,롯데시네마,영업,서울,서울특별시,관악구,서울특별시 관악구 봉천동 862-1 12층,"서울특별시 관악구 남부순환로 1820, 12층 (봉천동, 에그엘로우)",195703.0437,442094.0858,37.4809479979455,126.952083773717
수락산,롯데시네마,영업,서울,서울특별시,노원구,서울특별시 노원구 상계동 1132-35,서울특별시 노원구 동일로 1660 3층,0.0,0.0,37.6765885920661,127.055667748254
수유,롯데시네마,영업,서울,서울특별시,강북구,서울특별시 강북구 번동 449-1,서울특별시 강북구 도봉로 308 (번동),202032.7576,459259.444,37.6356640949861,127.02383520999
신대방(구로디지털역),롯데시네마,영업,서울,서울특별시,동작구,서울특별시 동작구 신대방동 686-48 동작 협성휴포레 시그니처,"서울특별시 동작구 시흥대로 606, 지2층 (신대방동, 동작 협성휴포레 시그니처)",191548.5358,442684.5314,37.4864917793931,126.905526238207
신도림,롯데시네마,영업,서울,서울특별시,구로구,서울특별시 구로구 신도림동 692 디큐브시티 제타워동 7~8층 일부,"서울특별시 구로구 경인로 662 (신도림동, 디큐브시티 제타워동 7~8층 일부)",190107.0454,445157.6264,37.5081230677129,126.888212953215
